,name,2019-9-30,930主营业务收入mainBusinessIncome,930总利润contributionMargin,930净利润retainedProfits,930总资产totalAssets,930总负债totalLiabilities,2019-6-30,630主营业务收入mainBusinessIncome,630总利润contributionMargin,630净利润retainedProfits,630总资产totalAssets,630总负债totalLiabilities,2019-3-31,331主营业务收入mainBusinessIncome,331总利润contributionMargin,331净利润retainedProfits,331总资产totalAssets,331总负债totalLiabilities,2018-12-31,1231主营业务收入mainBusinessIncome,1231总利润contributionMargin,1231净利润retainedProfits,1231总资产totalAssets,1231总负债totalLiabilities,2018-9-30,8930主营业务收入mainBusinessIncome,8930总利润contributionMargin,8930净利润retainedProfits,8930总资产totalAssets,8930总负债totalLiabilities
39,300313.SZ, ,7974.264816,-2646.494393,-2764.225673,131839.692355,114077.329215, ,6197.643824,-1755.23822,-1861.308881,133082.035468,114332.739522, ,2878.505087,-749.225993,-843.673354,136606.320567,116920.281719, ,10522.595721,-194560.014132,-194574.400381,140303.091109,119722.906879, ,6898.294009,-192302.053053,-192267.607916,136600.286077,113350.309202
40,600540.SH, ,55434.502866,-1803.819926,-1863.116864,166636.561953,106450.569973, ,44856.33839,-1098.560286,-1250.067184,143908.538577,98358.453518, ,29073.370749,-1131.115844,-1048.335361,157460.010019,111939.733135, ,128351.081963,3242.871877,2036.398229,190527.732128,143875.850423, ,78101.626826,1007.301466,199.53441,203238.791999,146458.442303
41,600467.SH, ,91972.178581,6279.316659,5346.708033,607977.113752,298603.525538, ,59727.255996,4307.506968,3648.051419,608668.888831,299306.871811, ,26898.956703,1023.742076,936.531258,610401.015371,303771.268191, ,114983.107021,7310.080951,6203.648265,595704.20151,289946.417113, ,90436.542067,5968.18111,5159.063867,585515.101181,280602.57309
42,600257.SH, ,79377.55562,531.768343,531.207631,178756.616252,42507.667707, ,48579.301764,505.298305,470.897292,186530.441805,50443.150725, ,24040.470219,544.083578,761.064056,179092.829581,42792.722958, ,107008.792739,2786.802707,1765.978665,180267.669372,44304.285998, ,71531.646498,3289.468661,2208.808739,180655.538596,44540.86065
43,002679.SZ, ,9979.063373,852.101882,839.252108,164488.075941,88883.575513, ,7137.892389,597.301629,587.899006,165624.181595,90271.040307, ,985.69074,-1225.532526,-1225.526919,165031.55727,90195.182881, ,16849.292319,5030.377255,4758.987544,170464.537875,94402.625353, ,8902.901358,1278.84479,1284.236338,166279.476759,93685.551637
44,300262.SZ, ,95461.373089,14647.568905,11753.360892,622226.462956,381078.327867, ,69699.473652,12570.008708,9520.233092,606916.1086,365480.98734, ,23432.054479,3631.83183,2662.669115,585614.661486,352764.272748, ,110427.21512,15103.44683,12290.962958,536865.557024,305041.958178, ,87234.254108,18691.529186,15689.339632,524937.352941,293931.005317
45,300761.SZ, ,620482.951156,127100.828792,127092.767926,766823.341329,158382.629294, ,359131.359251,43059.261878,43056.188252,672292.178161,147888.0458, ,162591.417278,10666.385907,10663.65334,682128.9555,141651.758051, ,721432.905045,129979.881315,129969.303269,569203.869193,154390.325084, ,526834.346814,97654.664239,97647.885166,524655.800931,142163.674925
46,600097.SH, ,167746.22175,12889.266292,10144.411655,253911.860268,77747.815017, ,105246.855373,3116.561838,868.010737,249088.37349,83479.966042, ,38292.474113,-1909.492093,-2470.538606,232020.227976,68867.131511, ,190997.619973,15684.515516,14031.884573,230672.305371,64136.543916, ,142738.172099,13939.088362,12250.414061,199609.263321,34065.777848
47,002321.SZ, ,430967.509911,10036.097784,7402.234674,818379.747777,512953.566916, ,262302.783409,7624.842549,5667.171656,843177.470769,538858.9988, ,118510.794517,2901.621714,1843.669909,871998.389908,570577.789751, ,534882.856538,23438.475858,11888.630356,906406.860813,606959.383701, ,415191.439342,17186.043434,8880.582051,791464.516695,498234.394957
48,000798.SZ, ,44624.696124,927.095423,1243.064002,102285.553265,22535.71616, ,27896.644179,-4678.243993,-4534.863615,95056.33973,20687.205627, ,10437.772444,-2277.632336,-2205.602297,97913.591105,21312.659829, ,62621.292518,5420.759866,5724.055522,104617.58726,25571.790166, ,42968.914571,5878.146768,6035.782009,105833.615903,26320.973965
49,000663.SZ, ,58629.526007,-3934.636396,-3828.908999,272229.320802,192348.03345, ,36842.448141,-2630.939532,-2491.259274,278017.915135,196829.892791, ,12506.403466,-1842.610885,-1815.567894,283396.956116,201315.553733, ,75483.207455,-136285.556863,-132950.875635,278859.650763,195127.695142, ,59983.023341,-6205.714793,-6992.910731,405426.552829,190735.579674
50,600975.SH, ,148319.719479,-3866.824722,-4173.746043,155282.435009,43025.863255, ,82260.04912,792.634062,601.084209,160172.049478,43241.051577, ,39345.012994,-2848.598424,-2944.658975,153213.25534,39941.697008, ,204103.986632,-3540.620903,-3583.830386,159409.205949,43241.247789, ,121544.845932,-4045.410817,-4345.372731,162930.65032,47291.988255
51,002458.SZ, ,358353.410526,217934.908446,217603.914486,414085.920223,53359.763313, ,238592.982577,147176.341692,146854.042537,329977.599372,41542.320161, ,144629.128947,90227.395721,90351.466604,278040.339117,33111.593431, ,65148.693901,38127.619799,38194.191173,256304.7179,64137.131883, ,147311.895489,35946.904738,36283.750179,231062.35655,70576.342612
52,002688.SZ, ,124863.053156,17772.47755,14325.828869,334722.38433,157835.655027, ,83370.231089,13069.049164,10503.843548,333861.023731,161850.901828, ,38463.023908,4748.104665,3773.400499,344604.518992,163123.782677, ,162889.009836,19451.631762,16362.888141,333535.410312,155596.297072, ,111101.09335,15518.87783,12890.35128,319132.851037,144467.481968
53,002100.SZ, ,517981.028295,22862.46025,30170.402467,893988.609188,460519.484418, ,271417.024043,2351.199702,8001.158686,921431.495973,524914.748024, ,120481.38559,626.813213,2892.010883,948685.708303,580768.908366, ,527303.235033,33441.400247,31372.625274,850874.220744,522993.025135, ,371083.434465,27162.913092,25931.516573,678431.401498,355570.363342
54,000735.SZ, ,69740.828709,-3640.179363,-4123.557483,615071.702186,212416.500217, ,46766.052783,-4217.936407,-4742.889536,602620.474133,198209.94892, ,21929.782945,-1271.275031,-1344.879471,625032.299989,217144.647321, ,114910.180826,42517.694921,38870.571366,631525.149988,222432.590132, ,89809.120706,41687.420383,38974.244247,627601.479593,223397.218299
55,600965.SH, ,112217.879847,20518.889129,16004.109559,272957.518913,58533.661207, ,72084.812858,11116.070505,8671.88955,263016.998788,58615.515754, ,36272.082249,4754.382244,3880.267514,281122.440153,69489.439364, ,145372.041748,22332.282854,16039.2854,281345.677448,73726.216383, ,110274.808014,18722.052175,14449.585924,250949.121954,56865.11009
56,603363.SH, ,426272.795408,7353.595847,4045.751477,452090.234361,326298.863946, ,271106.707252,3812.319157,2139.624759,393524.942888,283668.273199, ,133954.035838,2522.3003,1740.962841,353743.036379,248634.015568, ,576189.194807,1988.05011,3012.565431,330502.949,229609.507659, ,423043.499905,2454.173811,3169.129117,333322.024203,231361.74324
57,300511.SZ, ,132016.414302,10112.203238,10995.143207,370530.156459,208522.681346, ,88318.413606,11194.799025,11558.241283,366447.931171,203043.567812, ,53630.128275,13851.898093,13621.03736,385767.867017,214947.761087, ,184662.565623,14190.162442,15146.302787,389250.275555,232256.169727, ,130569.507409,13695.067011,13374.681241,374544.205303,218118.65722
